zone_id,timestamp,water_supplied_litres,water_consumed_litres,flowrate_lps,pressure,leak
Devendra Nagar Zone,2024-01-01 00:00:00,23254.565543977373,21687.676770778045,77.51521847992457,3.694814480290349,0
Devendra Nagar Zone,2024-01-01 00:05:00,53977.92655987208,50817.10578569396,179.92642186624028,2.5871254182523,0
Telibandha Zone,2024-01-01 00:10:00,63039.24691109907,60021.12923932885,210.1308230369969,2.448964723482877,1
Tatibandh Zone,2024-01-01 00:15:00,42533.380262507075,39143.80073597244,141.77793420835692,2.936843710297063,0
Amanaka Zone,2024-01-01 00:20:00,59245.38986130548,54001.67970415273,197.48463287101825,3.073692986900744,0
Tatibandh Zone,2024-01-01 00:25:00,57699.8491764,55457.088636333974,192.332830588,2.5975773894779195,0
Mowa Zone,2024-01-01 00:30:00,25846.14597117053,22033.529920820456,86.15381990390176,2.8463407384332235,0
Amanaka Zone,2024-01-01 00:35:00,26645.099172000762,24771.801956294108,88.81699724000254,3.863980603118173,0
,2024-01-01 00:40:00,16409.098160500136,14574.590629827368,54.69699386833379,3.351550491729987,0
Shankar Nagar Zone,2024-01-01 00:45:00,56484.34057604025,54575.876862033234,188.2811352534675,3.396849968216628,0
Mahadev Ghat Zone,2024-01-01 00:50:00,48629.40495618214,41928.81272659047,162.09801652060713,3.766800773017227,0
Tatibandh Zone,2024-01-01 00:55:00,22437.01225783511,19877.29290429786,74.79004085945037,2.944410258556124,0
Mahadev Ghat Zone,2024-01-01 01:00:00,51695.764280467534,49517.21145371447,172.31921426822512,2.508283175685404,0
Mowa Zone,2024-01-01 01:05:00,44298.4661475875,39179.983539612615,147.66155382529166,3.889451317770024,0
Pandri Zone,2024-01-01 01:10:00,28994.2044772048,28218.12462754898,96.64734825734934,2.595337525429036,0
Amanaka Zone,2024-01-01 01:15:00,20381.74106722358,19579.536763391654,67.93913689074526,3.208322387742924,0
Devendra Nagar Zone,2024-01-01 01:20:00,46979.83003586043,43348.725371106644,156.5994334528681,2.560650384307647,0
Devendra Nagar Zone,2024-01-01 01:25:00,40347.400738937264,39727.28902166222,134.49133579645755,3.213055334773168,0
Shankar Nagar Zone,2024-01-01 01:30:00,41948.94599198412,39177.83047491291,139.8298199732804,3.914280355836972,0
Tatibandh Zone,2024-01-01 01:35:00,35544.05567173096,30494.52486602587,118.48018557243654,2.658241389745406,0
,2024-01-01 01:40:00,31033.40271346387,30362.50135868189,103.44467571154624,2.68313193205101,0
Tatibandh Zone,2024-01-01 01:45:00,53732.87624653546,47236.01097259566,179.10958748845152,3.72702214888374,0
Mowa Zone,2024-01-01 01:50:00,27123.555020933458,26246.898146045354,90.4118500697782,3.5386540493354053,0
Mahadev Ghat Zone,2024-01-01 01:55:00,31363.33210706823,30576.642995516748,104.5444403568941,3.554528438342767,0
Telibandha Zone,2024-01-01 02:00:00,21663.911847902997,19759.416109828773,72.21303949300999,3.568405884886663,0
Gudhiyari Zone,2024-01-01 02:05:00,30528.20616120073,27347.843717871252,101.76068720400244,2.5495760993508227,0
,2024-01-01 02:10:00,25892.48721801752,23356.73810008175,86.30829072672506,3.978475681165901,0
Gudhiyari Zone,2024-01-01 02:15:00,43453.76237671108,39740.51248895876,144.84587458903692,3.05167469907888,0
Pandri Zone,2024-01-01 02:20:00,37868.94495333234,37458.33719416737,126.2298165111078,2.726076315948144,0
Shankar Nagar Zone,2024-01-01 02:25:00,38044.187623467646,33927.89359050746,126.81395874489216,2.5248817433917843,0
Pandri Zone,2024-01-01 02:30:00,38298.8107737366,36116.77070149046,127.662702579122,3.096358031631284,0
Telibandha Zone,2024-01-01 02:35:00,54480.27090214415,47421.38765967342,181.60090300714717,3.887040427417844,0
Tatibandh Zone,2024-01-01 02:40:00,26737.312867368408,23364.940407529004,89.12437622456136,3.2749538369065214,0
Devendra Nagar Zone,2024-01-01 02:45:00,30714.43085756974,27675.448045006928,102.38143619189913,3.008544686573051,0
Mahadev Ghat Zone,2024-01-01 02:50:00,53291.78019453808,51127.199174997426,177.63926731512692,3.83165514814144,0
Amanaka Zone,2024-01-01 02:55:00,57306.00491060004,55874.32531879818,191.0200163686668,3.0584241498426143,0
Telibandha Zone,2024-01-01 03:00:00,44338.25667761702,40817.69516254658,147.79418892539007,3.53784279653904,0
Mowa Zone,2024-01-01 03:05:00,31491.0953062287,27199.126839422966,104.970317687429,2.768234063831993,0
Amanaka Zone,2024-01-01 03:10:00,26270.78183725129,25219.373050844515,87.56927279083763,3.454498927278843,0
Mahadev Ghat Zone,2024-01-01 03:15:00,50766.50865937418,44366.63852754411,169.22169553124726,3.4467079389958943,0
Mowa Zone,2024-01-01 03:20:00,37463.70209481385,35249.00857978939,124.87900698271284,2.8452779023623327,0
Mowa Zone,2024-01-01 03:25:00,48647.344825383625,46342.6946494922,162.15781608461208,3.825241033399388,0
Amanaka Zone,2024-01-01 03:30:00,18390.58152027577,17738.1318277318,61.301938400919234,3.9704973755740687,0
Amanaka Zone,2024-01-01 03:35:00,40056.05681062576,36570.68044980908,133.52018936875254,2.7542391200291387,0
Mahadev Ghat Zone,2024-01-01 03:40:00,45201.45825708228,40999.96456124116,150.6715275236076,2.8133780764230405,0
,2024-01-01 03:45:00,46365.70834478706,42374.036954858304,154.5523611492902,3.6111529266313065,0
Devendra Nagar Zone,2024-01-01 03:50:00,26529.312461750615,25513.778378054554,88.43104153916872,3.129671284669415,0
Shankar Nagar Zone,2024-01-01 03:55:00,44248.37688499943,38815.2950097346,147.49458961666477,3.6974427684501623,0
Devendra Nagar Zone,2024-01-01 04:00:00,41048.920297840144,37240.64197873124,136.8297343261338,2.541425157810557,0
,2024-01-01 04:05:00,27894.356345772798,25298.25648828812,92.98118781924266,3.313966952061365,0
Gudhiyari Zone,2024-01-01 04:10:00,39168.709223849495,36414.53226528888,130.5623640794983,2.9548982720098342,0
Mowa Zone,2024-01-01 04:15:00,52891.03837553917,47332.41138294852,176.30346125179722,3.1858977424205928,0
Mahadev Ghat Zone,2024-01-01 04:20:00,58913.34357581405,56301.59096357661,196.37781191938015,3.5891370005839924,0
Amanaka Zone,2024-01-01 04:25:00,18530.537160401967,15976.34388904576,61.76845720133989,3.158457131058454,0
Tatibandh Zone,2024-01-01 04:30:00,17618.711797879965,15769.533272588144,58.72903932626655,3.5327498511480497,0
Gudhiyari Zone,2024-01-01 04:35:00,44708.88195229791,41556.713264009006,149.0296065076597,3.571893884050094,0
Mowa Zone,2024-01-01 04:40:00,33882.002809250545,30084.36912756951,112.94000936416847,3.4175811193515284,0
Tatibandh Zone,2024-01-01 04:45:00,19130.957961604887,17064.35040262156,63.76985987201628,3.0128195000746025,0
Mowa Zone,2024-01-01 04:50:00,19402.537229295067,18658.89768463624,64.67512409765023,3.211260743630988,0
Mowa Zone,2024-01-01 04:55:00,42713.254412349736,41973.14764225351,142.37751470783246,3.09775710159606,0
,2024-01-01 05:00:00,37546.79477618666,32137.41436600899,125.15598258728888,3.900154462119224,0
Devendra Nagar Zone,2024-01-01 05:05:00,54023.952009975175,49813.8374946844,180.07984003325058,3.916377395687751,0
Amanaka Zone,2024-01-01 05:10:00,35621.38007211824,32547.00059500538,118.73793357372747,3.4649323276635298,0
Pandri Zone,2024-01-01 05:15:00,24300.79619445354,22184.855577340142,81.0026539815118,3.477227157786682,0
Amanaka Zone,2024-01-01 05:20:00,30144.93966999269,28546.80128722697,100.48313223330896,3.4273808265068397,0
Telibandha Zone,2024-01-01 05:25:00,37321.68544320328,34277.756305788535,124.40561814401092,2.8910417923538545,0
Mahadev Ghat Zone,2024-01-01 05:30:00,51156.64186731818,48630.89502867573,170.5221395577273,3.6026065657058286,0
Amanaka Zone,2024-01-01 05:35:00,33567.79546101419,29765.032915537464,111.89265153671396,3.98575771300101,0
Mowa Zone,2024-01-01 05:40:00,45593.015095511066,40020.74591636472,151.9767169850369,2.8578952896855103,0
Pandri Zone,2024-01-01 05:45:00,52190.58597484837,47992.390051672504,173.96861991616123,3.257878558671786,0
