zone_id,timestamp,water_supplied_litres,water_consumed_litres,flowrate_lps,pressure_psi,leak,usage_difference
Devendra Nagar Zone,1/1/2024 0:00,22671.062534219076,20321.92971702708,71.97378768367396,3.8829006705613587,0,2349.132817191996
Devendra Nagar Zone,1/1/2024 0:05,58843.65130618716,51242.962765125456,166.2688620956552,2.766936351008233,0,7600.688541061703
Telibandha Zone,1/1/2024 0:10,65964.19158589467,64498.05528293155,235.74080580572152,2.4185245441080148,1,1466.1363029631248
Tatibandh Zone,1/1/2024 0:15,43372.63602484555,40961.833676097,131.12528748063698,3.06527515984591,0,2410.8023487485552
Amanaka Zone,1/1/2024 0:20,55169.527909687866,57312.64308305568,183.97370551453045,3.183614080460154,0,-2143.1151733678125
Tatibandh Zone,1/1/2024 0:25,53730.03632126107,57218.22128844678,207.30007121907053,2.7921997228926347,0,-3488.1849671857126
Mowa Zone,1/1/2024 0:30,23561.778876712833,22880.836207443783,84.85478853150146,3.090878577963372,0,680.9426692690504
Amanaka Zone,1/1/2024 0:35,28596.45911357231,26501.843065173853,96.18997747201017,3.6778276022275587,0,2094.6160483984568
,1/1/2024 0:40,16740.939390628777,13844.893371505972,47.56504448538139,3.5228247361008944,0,2896.046019122805
Shankar Nagar Zone,1/1/2024 0:45,58834.909049918075,54460.448483599605,187.57910237032027,3.2534192344871657,0,4374.46056631847
Mahadev Ghat Zone,1/1/2024 0:50,43966.66680580148,39590.94130903239,139.41792340014024,3.8885769209321697,0,4375.72549676909
Tatibandh Zone,1/1/2024 0:55,24545.686882810693,21815.996866581783,64.97728542493076,2.9242260597830563,0,2729.6900162289094
Mahadev Ghat Zone,1/1/2024 1:00,55132.93955908787,53914.92749392188,193.33030908672052,2.4982914047057814,0,1218.012065165989
Mowa Zone,1/1/2024 1:05,41749.878916340545,35570.93355009055,131.68067708760452,3.900900989567811,0,6178.945366249995
Pandri Zone,1/1/2024 1:10,27149.158087754397,29378.31379777629,97.58736015120391,2.707440189802641,0,-2229.1557100218924
Amanaka Zone,1/1/2024 1:15,19091.18760918059,21244.769772593638,66.12711048248993,3.208667266134862,0,-2153.582163413048
Devendra Nagar Zone,1/1/2024 1:20,45140.49680904549,40579.39504190355,149.4276489116421,2.7140457805875657,0,4561.101767141947
Devendra Nagar Zone,1/1/2024 1:25,40547.17227359166,40267.14498233896,150.62357202765932,3.2473678994057584,0,280.0272912526998
Shankar Nagar Zone,1/1/2024 1:30,41377.97904253353,42433.41648703465,119.77081549287159,3.7586993765864505,0,-1055.43744450112
Tatibandh Zone,1/1/2024 1:35,34059.94305738509,27652.10568064423,124.30193532523487,2.8378427484666706,0,6407.837376740863
,1/1/2024 1:40,31727.637895239764,31561.33598655475,117.82538179052172,2.663984428232427,0,166.3019086850145
Tatibandh Zone,1/1/2024 1:45,49858.66989541018,45321.52606783369,182.34259705614244,3.7826108033930104,0,4537.143827576489
Mowa Zone,1/1/2024 1:50,25995.99980766871,28474.714893059063,102.26002815336324,3.72555366245882,0,-2478.7150853903513
Mahadev Ghat Zone,1/1/2024 1:55,30525.064531730364,33457.318958925585,90.50175556393442,3.554060745845994,0,-2932.254427195221
Telibandha Zone,1/1/2024 2:00,21473.572652101753,21515.105394424223,70.45378511303518,3.420273679010079,0,-41.53274232246986
Gudhiyari Zone,1/1/2024 2:05,32269.388268256425,27206.806605390113,94.43873479661968,2.5650983187065384,0,5062.581662866312
,1/1/2024 2:10,24337.24866854088,25047.96517603742,92.28481961564079,4.343171754680631,0,-710.7165074965415
Gudhiyari Zone,1/1/2024 2:15,43577.470360887564,42479.026425181,165.7600440046527,3.1928456576071036,0,1098.443935706564
Pandri Zone,1/1/2024 2:20,38568.87339416293,36103.098095846886,117.00986683772128,2.8643480107804273,0,2465.7752983160462
Shankar Nagar Zone,1/1/2024 2:25,34593.202501309206,36159.775431417715,132.67940616317668,2.6381033057716596,0,-1566.5729301085084
Pandri Zone,1/1/2024 2:30,39122.578756452174,32772.41288143376,116.10020096303121,3.0339627665657867,0,6350.165875018414
Telibandha Zone,1/1/2024 2:35,50890.28390069376,48334.43790549571,185.16011296702723,3.9366005019123027,0,2555.8459951980476
Tatibandh Zone,1/1/2024 2:40,24411.442541867866,22103.274924400113,88.16002783228743,3.4801001212508935,0,2308.1676174677523
Devendra Nagar Zone,1/1/2024 2:45,33471.8836196043,25575.251761775875,116.87881126251933,2.903865186500903,0,7896.631857828423
Mahadev Ghat Zone,1/1/2024 2:50,58254.65218120645,46801.35958629315,183.42287886116029,3.7997677935835354,0,11453.292594913306
Amanaka Zone,1/1/2024 2:55,60840.60889907859,58067.825904015954,182.39582781837856,3.0322680976657654,0,2772.782995062633
Telibandha Zone,1/1/2024 3:00,42605.63970917424,39510.5081767202,130.6838687603263,3.590212914823683,0,3095.131532454041
Mowa Zone,1/1/2024 3:05,28957.146149260847,28421.81882564562,93.98769834402707,3.0369058823935426,0,535.3273236152272
Amanaka Zone,1/1/2024 3:10,27238.770969444762,23027.08493295829,80.35313378243151,3.3167521019133543,0,4211.686036486473
Mahadev Ghat Zone,1/1/2024 3:15,50158.85887103041,42727.64916710645,156.57914235879386,3.5425441673448184,0,7431.20970392396
Mowa Zone,1/1/2024 3:20,34631.732695762854,35527.414360754716,138.01438254243675,2.77956536181929,0,-895.6816649918619
Mowa Zone,1/1/2024 3:25,48600.41872660738,49037.27362116274,165.13614219303403,4.190939744040807,0,-436.854894555363
Amanaka Zone,1/1/2024 3:30,16678.008348184332,17095.133430630303,61.73211086245738,3.8394531974318,0,-417.1250824459712
Amanaka Zone,1/1/2024 3:35,43335.20906583195,37491.467109817706,118.08934944276066,2.783269214436326,0,5843.741956014244
Mahadev Ghat Zone,1/1/2024 3:40,43020.75894136335,44164.979359726465,166.95036681310228,2.984101588041491,0,-1144.2204183631184
,1/1/2024 3:45,47872.80050702145,43355.955153436356,164.88330409431674,3.8122333484003184,0,4516.845353585093
Devendra Nagar Zone,1/1/2024 3:50,25530.277320963763,24151.135824077086,76.96158042563682,3.17163797218512,0,1379.1414968866775
Shankar Nagar Zone,1/1/2024 3:55,44425.97235286233,35123.190215918316,156.69095531111427,3.7047586214100994,0,9302.782136944013
Devendra Nagar Zone,1/1/2024 4:00,41432.4016067906,39997.18591202914,138.616931113267,2.565929215397973,0,1435.2156947614567
,1/1/2024 4:05,26136.199926062855,22876.046643216854,81.31368556376069,3.279639024745868,0,3260.1532828460004
Gudhiyari Zone,1/1/2024 4:10,42847.31396781839,39143.44950031636,128.9290540529584,2.8981640502654105,0,3703.864467502026
Mowa Zone,1/1/2024 4:15,55801.45052399809,47606.34424638684,175.49403203508578,3.257440117162384,0,8195.106277611252
Mahadev Ghat Zone,1/1/2024 4:20,64091.81400948348,61245.632953084336,176.68747255479784,3.5542508169379636,0,2846.1810563991457
Amanaka Zone,1/1/2024 4:25,19993.809737776777,16931.036634657405,70.02748327513187,3.1367245762575777,0,3062.7731031193725
Tatibandh Zone,1/1/2024 4:30,17963.686102379725,17339.970974464664,64.89515453686575,3.704135591257464,0,623.7151279150603
Gudhiyari Zone,1/1/2024 4:35,48481.187024279025,40315.92800432415,156.58640622656014,3.9122260755286793,0,8165.259019954872
Mowa Zone,1/1/2024 4:40,31093.463169637413,31692.007352283425,111.66250749149604,3.5561489279536604,0,-598.5441826460119
Tatibandh Zone,1/1/2024 4:45,17967.730144364225,16729.65334928405,62.08185015534162,2.8969673109209406,0,1238.0767950801746
Mowa Zone,1/1/2024 4:50,17637.788338379738,18583.79793167543,67.60439241713857,3.087105510608883,0,-946.0095932956938
Mowa Zone,1/1/2024 4:55,41221.112406036154,43043.50876651425,144.31805769629904,3.3849609528073104,0,-1822.3963604780947
,1/1/2024 5:00,36710.832588323516,34539.217621838434,108.72074073686036,3.8790687392492984,0,2171.614966485082
Devendra Nagar Zone,1/1/2024 5:05,51553.426223102586,54636.64854325783,180.75528249704124,3.7746438856816877,0,-3083.2223201552406
Amanaka Zone,1/1/2024 5:10,37963.3968213532,34293.2995924025,129.65245330733782,3.603033054989616,0,3670.097228950697
Pandri Zone,1/1/2024 5:15,23604.594547417084,21819.989167700725,80.01215055264119,3.6286510704386656,0,1784.6053797163586
Amanaka Zone,1/1/2024 5:20,28824.196472149426,28097.80008423072,86.97689026531353,3.5894127336537816,0,726.3963879187068
Telibandha Zone,1/1/2024 5:25,37640.383397030455,35906.51395748659,135.0900030028777,2.8624502680702553,0,1733.8694395438652
Mahadev Ghat Zone,1/1/2024 5:30,47482.819704568254,46090.194789284265,155.2449135503324,3.430641915225173,0,1392.6249152839882
Amanaka Zone,1/1/2024 5:35,35596.61274771624,27446.182750832755,103.7900850596299,4.363417445145006,0,8150.429996883482
